unable,Not able; lacking a certain ability.; To render unable; disable
faculty,The academic staff at schools, colleges, universities or not-for-profit research institutes, as opposed to the students or support staff.; A division of a university.; An ability, skill, or power, often plural.
founder,One who founds or establishes (especially said of a company, project, organisation, state); Someone for whose parents one has no data.; The iron worker in charge of the blast furnace and the smelting operation.
represent,To present again or anew; to present by means of something standing in the place of; to exhibit the counterpart or image of; to typify.; To portray visually; to delineate; To portray by mimicry or acting; to act the part or character of
climate,An area of the earth's surface between two parallels of latitude.; A region of the Earth.; The long-term manifestations of weather and other atmospheric conditions in a given area or country, now usually represented by the statistical summary of its weather conditions during a period long enough to ensure that representative values are obtained (generally 30 years).
personnel,Employees; office staff.
journalist,The keeper of a personal journal, who writes in it regularly.; One whose occupation is journalism, originally only writing in the printed press.; A reporter, who professionally does living reporting on news and current events.
strain,Treasure.; The blood-vessel in the yolk of an egg.; Race; lineage, pedigree.
overlook,A vista or point that gives a beautiful view.; To offer a view (of something) from a higher position.; To fail to notice; to look over and beyond (anything) without seeing it.
workforce,All the workers employed by a specific organization or state, or on a specific project; The total population of a country or region that is employed or employable.
display,A show or spectacle.; A piece of work to be presented visually.; An electronic screen that shows graphics or text.
archeologist,Someone who studies or practises archaeology.
travel,The act of traveling; passage from place to place.; (in the plural) A series of journeys.; (in the plural) An account of one's travels.
